"","mac","mae_scaled","within_50","within_95"
"1",0.662875,0.405103380360739,0.8,1
"2",0.7995,0.537247691722235,0.74,1
"3",1.345375,0.511638223354004,0.75,1
"4",1.355625,0.703703706018695,0.69,1
"5",1.87775,0.605807838268087,0.69,1
"6",1.11475,0.609570454272558,0.75,0.99
"7",1.22075,0.574145496842112,0.77,0.98
"8",0.938,0.580832815627306,0.7,1
"9",1.4795,0.602276166766768,0.68,0.99
"10",1.253375,0.61655822092101,0.74,0.99
"11",1.050625,0.518611325149092,0.74,1
"12",0.798375,0.486249000269146,0.78,0.99
"13",1.339875,0.60760100198625,0.64,0.99
"14",1.366,0.544712191231762,0.67,0.99
"15",1.04225,0.594417169425977,0.69,0.99
"16",0.64775,0.490427127366154,0.81,1
"17",0.960875,0.592947370653807,0.72,1
"18",1.202625,0.656392838288601,0.75,1
"19",1.034125,0.516248070028957,0.82,1
"20",0.8065,0.587717305963684,0.74,1
"21",1.015875,0.450021870314257,0.75,0.98
"22",1.00375,0.415437208342301,0.79,1
"23",0.791375,0.496760345854305,0.81,0.99
"24",1.46125,0.47728463950161,0.79,1
"25",1.150125,0.636374780124234,0.68,0.99
"26",1.39175,0.648556685338428,0.67,1
"27",1.125625,0.562698764867896,0.69,1
"28",0.77525,0.528627955535899,0.75,1
"29",0.8065,0.549281292732827,0.76,1
"30",1.340125,0.569167713181479,0.7,0.99
"31",1.22475,0.663911985666079,0.75,0.99
"32",0.630375,0.435808020928949,0.82,1
"33",0.86725,0.544538816140034,0.77,1
"34",1.98825,0.561402927535226,0.71,0.99
"35",1.2395,0.633433974357108,0.65,1
"36",1.107625,0.521223352575227,0.77,1
"37",0.649625,0.464230183938896,0.81,1
"38",0.683875,0.444707873561979,0.77,1
"39",1.356625,0.595857234161411,0.71,1
"40",0.917,0.564163035098504,0.78,1
"41",1.487375,0.578816429065707,0.75,1
"42",1.1765,0.522243196356163,0.68,1
"43",1.09675,0.793617402076634,0.72,1
"44",1.1365,0.658940476063952,0.74,1
"45",1.206125,0.625664657764512,0.71,1
"46",1.80475,0.550224678981472,0.65,1
"47",1.07775,0.611569274609032,0.69,0.99
"48",1.124375,0.657852308871717,0.74,1
"49",0.79975,0.560752920405198,0.78,0.99
"50",0.67,0.471311654961298,0.78,0.99
"51",1.828625,0.568666512736314,0.68,0.99
"52",1.26725,0.520570554003386,0.69,1
"53",1.132875,0.628972478360108,0.8,1
"54",1.664875,0.515272787891219,0.72,1
"55",0.99825,0.591834953023291,0.75,0.99
"56",0.775875,0.478552404450367,0.73,0.98
"57",1.221875,0.533637678451103,0.74,0.99
"58",5.233625,0.738437809903763,0.43,1
"59",2.02925,0.444945843432046,0.72,0.99
"60",1.4975,0.55145159270256,0.68,1
"61",1.071125,0.621791601543668,0.72,0.99
"62",1.1675,0.471212186381299,0.74,1
"63",1.744,0.457820264699093,0.8,1
"64",1.589,0.571167211663763,0.69,0.99
"65",1.632,0.583562378118803,0.69,1
"66",2.425625,0.417987674979191,0.74,1
"67",2.785125,0.480169823478959,0.69,0.99
"68",4.035625,0.500696080420805,0.75,0.99
"69",1.176125,0.519770577967213,0.75,0.99
"70",1.091375,0.502383480441054,0.79,0.98
"71",1.102125,0.514853758601247,0.78,0.99
"72",0.74625,0.476591194687437,0.73,1
"73",1.619625,0.407637405614115,0.7,0.99
"74",11.324125,0.374274965794594,0.8,0.99
"75",4.470125,0.358166165935847,0.75,0.99
"76",3.830625,0.433081774871178,0.73,1
"77",3.172125,0.604974823798172,0.65,0.98
"78",1.48,0.587932184239711,0.65,1
"79",1.708625,0.509724576401303,0.66,0.99
"80",3.614875,0.498008263387217,0.66,0.99
"81",6.326875,0.494335599316343,0.69,1
"82",1.539375,0.579139020433264,0.74,1
"83",0.96475,0.608260062649748,0.74,0.99
"84",25.633125,0.309503504420973,0.92,1
"85",0.76875,0.522312620499569,0.84,1
"86",2.744,0.455117488961987,0.67,1
"87",9.73349999999999,0.333569924723178,0.87,0.98
"88",3.275625,0.576213604790899,0.67,0.98
"89",1.283125,0.631824011201709,0.72,1
"90",1.13825,0.593398001510113,0.73,1
"91",6.545125,0.532969988934241,0.64,1
"92",22.852875,0.403015318674954,0.66,1
"93",5.36625,0.461036664812624,0.62,0.99
"94",3.37925,0.562305194422128,0.64,0.99
"95",2.132,0.425097647609696,0.69,1
