"","mac","mae_scaled","within_50","within_95"
"1",0.67725,0.526372058281808,0.77,1
"2",0.599,0.531496426888658,0.86,0.99
"3",0.684375,0.534018687342783,0.78,1
"4",0.479125,0.463125602158779,0.86,1
"5",0.61175,0.502051386834184,0.84,0.99
"6",0.812375,0.579046770003106,0.81,1
"7",0.74475,0.549761217349191,0.83,0.99
"8",0.727125,0.736599149734952,0.84,1
"9",0.601375,0.496858237928042,0.82,0.99
"10",0.716125,0.510748086427195,0.85,1
"11",0.66175,0.512314792402015,0.8,0.99
"12",0.785125,0.57106813640509,0.77,0.98
"13",0.703875,0.503048127781539,0.81,1
"14",0.6555,0.577872736546141,0.81,1
"15",0.9085,0.587643083931984,0.76,1
"16",0.85475,0.685966316211407,0.87,0.96
"17",0.5875,0.569762883089343,0.83,0.99
"18",0.78175,0.537135154676202,0.8,0.98
"19",0.703375,0.579149412909155,0.77,1
"20",0.674875,0.518877967860799,0.84,1
"21",0.627125,0.53461806158071,0.82,1
"22",0.621375,0.542248545607237,0.84,1
"23",0.63625,0.505606824005625,0.85,1
"24",0.72175,0.545185581921744,0.79,0.99
"25",0.65875,0.460372787259175,0.81,0.99
"26",0.582875,0.542367225402035,0.84,1
"27",0.615125,0.509672428076697,0.84,1
"28",0.820125,0.645295499223622,0.83,1
"29",0.6685,0.518583208084846,0.8,1
"30",0.711,0.523917043320672,0.82,0.99
"31",0.723875,0.491028000678431,0.8,0.99
"32",0.733625,0.519929768743877,0.8,1
"33",0.582625,0.474051446281619,0.83,1
"34",0.8185,0.571924659569968,0.77,1
"35",0.814125,0.591941286005913,0.75,1
"36",0.476125,0.406902615208637,0.82,1
"37",0.701,0.493781843481861,0.79,1
"38",0.64,0.455394846182089,0.82,0.99
"39",0.669375,0.438154069362924,0.82,0.99
"40",0.645125,0.523661297354049,0.8,0.99
"41",0.56625,0.496228329949054,0.84,1
"42",0.73975,0.609199634438965,0.77,1
"43",0.702,0.606836312077239,0.83,1
"44",0.641625,0.56145600531709,0.82,0.99
"45",0.660625,0.532686213543864,0.79,0.99
"46",0.854,0.609972691487794,0.8,1
"47",0.5275,0.419374220814878,0.83,1
"48",0.726375,0.496073229312256,0.8,1
"49",0.872375,0.61877107697746,0.78,1
"50",0.653625,0.55666382066644,0.85,1
"51",0.784125,0.557472106356242,0.81,1
"52",0.723375,0.559224783120881,0.81,0.99
"53",0.66875,0.515110231755021,0.79,1
"54",0.740625,0.550509437717626,0.77,1
"55",0.870125,0.688633375972729,0.86,0.99
"56",0.722,0.53672699959451,0.78,1
"57",0.595375,0.503899127964512,0.84,0.99
"58",0.754625,0.649439006200289,0.82,0.99
"59",0.68275,0.539101147985355,0.8,0.99
"60",0.83275,0.641552155598227,0.83,1
"61",0.635375,0.499858759208332,0.81,1
"62",0.485375,0.446982165343091,0.87,0.99
"63",0.76575,0.632390172370649,0.8,0.99
"64",0.801625,0.596253466663015,0.81,0.99
"65",0.7035,0.547968286572995,0.84,1
"66",0.73775,0.530331088266213,0.79,1
"67",0.47375,0.381024782907377,0.85,1
"68",0.69825,0.511016288371793,0.81,1
"69",0.6415,0.475270466174291,0.83,1
"70",0.74475,0.566657518514401,0.85,1
"71",0.8495,NA,0.84,0.98
"72",0.77875,0.556567566833367,0.82,1
"73",0.72875,0.530183488410729,0.79,1
"74",0.647,0.527429274080917,0.81,1
"75",0.663875,0.552454865513743,0.81,0.99
"76",0.54625,0.549739687910498,0.87,0.98
"77",0.68075,0.66543514001415,0.79,1
"78",0.615625,0.471385030432774,0.84,1
"79",0.722375,0.632259495831291,0.81,0.99
"80",0.74775,0.480145674390484,0.79,0.99
"81",0.515875,0.428687670229422,0.87,1
"82",0.70325,0.551708495412291,0.85,1
"83",0.646125,0.504939621992854,0.83,1
"84",0.622,0.606431774776781,0.86,0.99
"85",0.54825,0.48077124391746,0.8,0.98
"86",0.621875,0.484298268821219,0.79,1
"87",0.745125,0.557808767908508,0.83,0.99
"88",0.810875,0.553322015742308,0.79,1
"89",0.509875,0.482187130172967,0.8,0.99
"90",0.803625,0.630882362952327,0.85,0.98
"91",0.772125,0.524711916276353,0.85,0.98
"92",0.68425,0.528538104288792,0.8,1
"93",0.584625,0.483930131309972,0.87,0.98
"94",0.645,0.567149517892271,0.84,1
"95",0.68575,0.554093574154352,0.86,0.99
"96",0.59475,0.567441755926681,0.8,1
"97",0.643,0.508661672228536,0.81,1
"98",0.645,0.468290414448398,0.77,1
"99",0.805125,0.528937525731403,0.83,0.97
"100",0.8265,0.584495263915383,0.87,1
"101",0.874875,0.55349790598193,0.79,0.99
"102",0.573625,0.444283543029336,0.85,1
"103",0.49725,0.449843591158017,0.86,1
"104",0.638125,0.633582097093571,0.78,1
"105",0.8025,0.726869957525234,0.8,0.99
"106",0.922125,0.590996441987186,0.8,1
"107",0.667,0.429561043645027,0.78,0.99
"108",0.699875,0.540108154606783,0.8,0.99
"109",0.74525,0.643544739830959,0.89,0.99
"110",0.79275,0.649524395102475,0.84,1
