"","mac","mae_scaled","within_50","within_95"
"1",0.652625,0.50370102482657,0.64,0.97
"2",0.785,0.603455628482937,0.62,0.99
"3",1.374125,0.643663094993822,0.7,0.97
"4",1.343375,0.870034561820376,0.6,0.99
"5",1.940375,0.781509369657737,0.55,0.97
"6",1.08075,0.753302374461267,0.72,0.96
"7",1.22075,0.730036137133535,0.66,0.97
"8",0.921375,0.696075837462966,0.68,1
"9",1.560125,0.794720274113968,0.58,0.95
"10",1.262125,0.788826449716772,0.67,0.99
"11",1.048625,0.630740698236948,0.67,0.98
"12",0.790875,0.577137684928138,0.74,0.97
"13",1.316125,0.910313815528786,0.55,0.99
"14",1.367875,0.712937632857603,0.61,0.96
"15",1.020375,0.716812486709822,0.68,0.98
"16",0.63725,0.522054167936689,0.73,0.99
"17",0.985625,0.717477999321871,0.72,0.98
"18",1.15125,0.818357653148493,0.69,1
"19",1.025125,0.607099517677184,0.72,0.99
"20",0.786125,0.690193566917214,0.66,0.99
"21",1.014125,0.574994277480547,0.74,0.97
"22",1.01825,0.508739425988914,0.74,0.97
"23",0.782875,0.584619920250624,0.72,0.98
"24",1.436875,0.634186425934057,0.71,0.97
"25",1.136625,0.791225558501495,0.63,0.99
"26",1.395875,0.821513616360697,0.64,0.97
"27",1.15025,0.721713651136969,0.69,0.97
"28",0.75225,0.613142626460014,0.65,0.99
"29",0.769375,0.62377774020086,0.68,0.98
"30",1.335625,0.70825217318035,0.67,0.97
"31",1.243875,0.817711884318918,0.64,0.99
"32",0.63925,0.512611241749274,0.67,0.99
"33",0.8675,0.655907066471719,0.75,0.98
"34",1.976125,0.734162620663543,0.57,0.95
"35",1.24125,0.769209905681963,0.59,0.99
"36",1.151625,0.655244261970205,0.7,0.98
"37",0.6595,0.538661441157481,0.73,1
"38",0.672125,0.52630889049718,0.61,0.97
"39",1.3605,0.739503502722674,0.64,1
"40",0.912375,0.661155294877611,0.75,0.99
"41",1.46825,0.73153173021976,0.63,0.99
"42",1.18375,0.677885526152534,0.62,0.97
"43",1.069375,0.970658083736699,0.56,0.99
"44",1.125125,0.774101305841573,0.67,0.99
"45",1.196375,0.797416581218327,0.59,0.97
"46",1.8555,0.749668755482251,0.57,0.96
"47",1.0855,0.735446364113868,0.68,0.98
"48",1.1565,0.801063992948468,0.71,0.98
"49",0.816125,0.674758582486406,0.7,0.98
"50",0.655375,0.542077802694708,0.66,0.98
"51",1.851125,0.776806375854988,0.55,0.95
"52",1.30375,0.717819164451849,0.65,0.96
"53",1.1785,0.743169802895945,0.72,0.99
"54",1.66575,0.673236409626762,0.66,0.96
"55",0.9845,0.686684524313651,0.74,0.98
"56",0.817625,0.610131592404219,0.63,0.98
"57",1.246375,0.706012570788454,0.66,0.97
"58",5.290625,1.42880702289412,0.26,0.78
"59",2.15825,0.614379513199463,0.59,0.96
"60",1.513625,0.748006011528625,0.63,0.94
"61",1.056125,0.740481798749488,0.68,0.98
"62",1.158,0.548304741270982,0.69,0.99
"63",1.722375,0.609212604585512,0.67,0.98
"64",1.596375,0.723618677066018,0.6,0.97
"65",1.589875,0.760933389305698,0.63,0.96
"66",2.4285,0.634732066651312,0.61,0.93
"67",2.7425,0.749813843015321,0.54,0.9
"68",3.7765,0.849253789923048,0.48,0.96
"69",1.217625,0.66036531627294,0.69,0.98
"70",1.068625,0.626420474944887,0.68,0.98
"71",1.076125,0.637966260258623,0.73,0.98
"72",0.761375,0.588701342825251,0.67,1
"73",1.61775,0.54233987312913,0.64,0.97
"74",11.303375,0.961232964132804,0.32,0.88
"75",4.590125,0.671149893363777,0.54,0.87
"76",3.921,0.73180787944748,0.55,0.93
"77",3.234,0.885663509872476,0.44,0.84
"78",1.50975,0.772369782355122,0.56,0.94
"79",1.70175,0.729312605128605,0.56,0.93
"80",3.788625,0.762793938287454,0.51,0.93
"81",6.336875,0.972745783380194,0.44,0.89
"82",1.56125,0.761170587731307,0.6,0.97
"83",0.981375,0.718873668105713,0.7,0.97
"84",24.754375,1.16876329629364,0.32,0.78
"85",0.773125,0.609561136595589,0.75,0.98
"86",2.790625,0.681413258534891,0.54,0.98
"87",10.407875,0.838611727586127,0.42,0.91
"88",3.304,0.870076573025159,0.45,0.9
"89",1.364125,0.817542824895698,0.65,0.99
"90",1.127625,0.718736917363389,0.66,1
"91",6.453375,1.05935544338988,0.4,0.83
"92",22.183,1.35462049903088,0.34,0.63
"93",5.722375,0.892348211298875,0.42,0.86
"94",3.4,0.867344000519258,0.41,0.92
"95",2.11725,0.589105331975509,0.61,0.97
