"","mac","mae_scaled","within_50","within_95"
"1",0.791125,0.664168260378517,0.84,0.99
"2",0.64925,0.414800199691139,0.8,0.97
"3",0.681,0.483799612380115,0.9,0.99
"4",0.93075,0.781639374049132,0.86,1
"5",0.812625,0.647205705647522,0.79,0.99
"6",0.89875,0.731783883966165,0.87,0.99
"7",0.893125,0.79191825648987,0.84,0.99
"8",0.78025,0.73886991967666,0.86,1
"9",0.752875,0.676632882974974,0.9,0.98
"10",1.013,0.733381123394803,0.82,0.99
"11",0.754625,0.615012413275293,0.85,0.99
"12",0.818125,0.763823660218935,0.79,1
"13",0.741125,0.559476708602946,0.82,0.99
"14",0.697875,0.681421451864502,0.86,1
"15",0.74475,0.709303889218258,0.87,1
"16",0.724,0.571137916254738,0.87,1
"17",0.654875,0.519577025434235,0.84,0.98
"18",0.8915,0.732373395791544,0.82,1
"19",0.781375,0.648610869260559,0.83,0.99
"20",0.774375,0.588276347387791,0.84,1
"21",0.727,0.598218099256208,0.88,1
"22",0.763,0.613774098015735,0.87,1
"23",0.6805,0.589713368292459,0.86,0.99
"24",0.893625,0.714745473518836,0.83,0.99
"25",0.6425,0.515604169699714,0.82,1
"26",0.726375,0.562298880786616,0.86,1
"27",0.77075,0.718141402808132,0.82,0.99
"28",0.9015,0.734241612176339,0.87,0.99
"29",0.707125,0.658245961405655,0.86,1
"30",0.78525,0.64429356690151,0.83,1
"31",0.70975,0.67495245327182,0.87,1
"32",0.82075,0.76480922846688,0.85,1
"33",0.793125,0.698956567375293,0.84,1
"34",0.6005,0.448836575576314,0.88,0.99
"35",0.748375,0.565898116925951,0.81,1
"36",0.8235,0.693452759050224,0.88,1
"37",0.857,0.636477026071753,0.83,1
"38",0.721125,0.552150587844372,0.84,1
"39",0.719625,0.717856084347068,0.87,1
"40",0.6695,0.575692196024376,0.84,1
"41",0.763625,0.616496312217947,0.88,1
"42",0.721625,0.62002728910502,0.82,0.98
"43",0.77125,0.668147111106054,0.84,1
"44",0.7165,0.628200887915243,0.85,0.99
"45",0.931125,0.716583085042456,0.84,1
"46",0.759875,0.697345607615079,0.85,1
"47",0.723875,0.71634939729297,0.84,1
"48",0.75425,0.657360360930256,0.88,1
"49",0.7745,0.682583074204226,0.87,1
"50",0.819625,0.764245192911457,0.87,0.99
"51",0.78775,0.628942915882829,0.82,1
"52",0.882125,0.775963027300967,0.89,1
"53",0.6965,0.631870955354178,0.87,1
