"","mac","mae_scaled","within_50","within_95"
"1",0.546375,0.734306859445123,0.89,0.97
"2",0.717875,0.806527216468157,0.86,0.98
"3",0.727,0.838233500812157,0.83,1
"4",0.63125,0.790734847684103,0.84,0.98
"5",0.7935,0.878200376171309,0.81,1
"6",0.768125,0.865302369974962,0.86,0.99
"7",0.47325,0.673895815544412,0.87,1
"8",0.5125,0.717175184389873,0.91,0.98
"9",0.544625,0.738967286651649,0.86,1
"10",0.843875,0.908014249708696,0.8,0.99
"11",0.777125,0.877349203138643,0.81,0.98
"12",0.5465,0.734313993996727,0.87,0.99
"13",0.5035,0.700439700602932,0.9,0.98
"14",0.66025,0.752623205942133,0.85,1
"15",0.66475,0.818303887943558,0.83,1
"16",0.881625,0.913631764099177,0.88,1
"17",0.83925,0.904989821789792,0.83,0.99
"18",0.571125,0.75312860254406,0.88,0.98
"19",0.51125,0.707749419588101,0.86,0.97
"20",0.776875,0.873710414320399,0.76,1
"21",0.5355,0.729971158732109,0.89,0.99
"22",0.563125,0.74557091710671,0.91,0.98
"23",0.6855,0.830873049054158,0.86,1
"24",0.552125,0.738241219074611,0.85,1
"25",0.789125,0.884321453186429,0.8,0.99
"26",0.777125,0.865109829500864,0.8,0.99
"27",0.655,0.800784684171151,0.85,0.98
"28",0.535,0.72864099573339,0.91,0.99
"29",0.65875,0.812678564675129,0.85,0.99
"30",0.66025,0.795952868512078,0.86,1
"31",0.8315,0.908106802213675,0.83,0.99
"32",0.5215,0.721517739488222,0.9,0.99
"33",0.491125,0.698502309788687,0.92,0.97
"34",0.762125,0.84638889345349,0.86,1
"35",0.512125,0.702233520328524,0.88,0.99
"36",0.72225,0.837968316036504,0.8,0.97
"37",0.63,0.777625426548851,0.84,0.98
"38",0.5315,0.727906591728102,0.93,0.99
"39",0.48525,0.682564307255749,0.93,0.98
"40",0.497625,0.696785830613496,0.87,0.98
"41",0.873375,0.90880655056249,0.83,0.98
"42",0.570875,0.733071305929497,0.85,1
"43",0.487625,0.679258451705335,0.88,0.99
"44",0.722125,0.850995810077273,0.85,0.98
"45",0.494625,0.688810564563152,0.9,0.99
"46",0.71575,0.810363588478148,0.85,0.99
"47",0.518625,0.721169666785073,0.88,1
"48",0.6165,0.818931243931479,0.85,1
"49",0.5795,0.755577416644157,0.87,0.97
"50",0.5675,0.754362956475302,0.86,1
"51",0.57475,0.756253771721547,0.85,0.99
"52",0.611125,0.763261941269997,0.81,1
"53",0.495875,0.699370052732991,0.92,1
"54",0.52825,0.723564860169385,0.89,0.99
"55",0.632875,0.79037945673093,0.86,0.98
"56",0.53025,0.727784380128845,0.88,0.98
"57",0.68525,0.824472033200905,0.79,1
"58",0.532375,0.735542944611326,0.87,0.99
"59",0.502875,0.7037655886226,0.92,1
"60",0.64875,0.794183606220496,0.82,1
"61",0.721375,0.842496118881383,0.84,0.99
"62",0.813875,0.872327908322329,0.82,0.99
"63",0.696625,0.766691285891459,0.9,1
"64",0.519,0.720721796337276,0.89,1
"65",0.549875,0.748579081375836,0.88,1
"66",0.781625,0.884748694308799,0.79,1
"67",0.67525,0.826499604769453,0.88,0.99
"68",0.509125,0.712228198821883,0.89,1
"69",0.54325,0.730731860575941,0.87,0.99
"70",0.629875,0.800259923943835,0.82,0.99
"71",0.5055,0.709547082671265,0.89,0.98
"72",0.652375,0.808439083833889,0.83,0.99
"73",0.487125,0.690173526298897,0.9,0.98
"74",0.554125,0.717175406889309,0.89,1
"75",0.487,0.694386268528745,0.92,0.98
"76",0.828125,0.872490782053241,0.83,1
"77",0.506375,0.716117596622505,0.89,0.97
"78",0.501875,0.706691741647482,0.89,0.99
"79",0.514375,0.71431035675688,0.93,0.99
"80",0.584875,0.761504506678678,0.83,0.97
"81",0.764,0.869143195962367,0.81,0.97
"82",0.561125,0.748127798715773,0.84,0.99
"83",0.836375,0.901588530570187,0.8,1
"84",0.750625,0.868784922461413,0.8,0.97
"85",0.589875,0.770431258643918,0.84,0.99
"86",0.5725,0.750322048201097,0.8,0.98
"87",0.52625,0.71982282158082,0.88,0.97
"88",0.663875,0.805540068760852,0.82,0.99
"89",0.542375,0.746519174560623,0.84,0.98
"90",0.62,0.771266036625031,0.84,1
"91",0.8355,0.894544471407245,0.82,0.99
"92",0.557,0.751226818422912,0.86,0.98
"93",0.707,0.819121728298161,0.84,1
"94",0.758625,0.870588472282044,0.86,0.99
"95",0.842125,0.872530541372005,0.84,1
"96",0.657375,0.802626922733988,0.84,0.98
"97",0.53325,0.728176842767552,0.88,1
"98",0.84475,0.887177251838151,0.86,0.99
"99",0.788625,0.840618444241751,0.86,0.98
"100",0.5865,0.771141165669982,0.84,1
"101",0.461375,0.654277674583222,0.91,1
"102",0.5575,0.738433682858164,0.85,1
"103",0.546,0.742372635006696,0.88,0.98
"104",0.48825,0.70522394870704,0.83,1
"105",0.596625,0.760902906447076,0.85,0.98
"106",0.42975,0.606239553363456,0.9,1
"107",0.501,0.702397867539956,0.9,1
"108",0.812375,0.891312741181051,0.83,0.96
"109",0.706375,0.828609196488778,0.79,1
"110",0.64025,0.806843674268037,0.82,0.99
"111",0.504375,0.706174384462464,0.89,0.99
"112",0.7565,0.86254556940198,0.82,1
"113",0.51375,0.710952075983258,0.9,0.98
"114",0.861,0.923760625098146,0.78,0.99
"115",0.561125,0.735318153510747,0.89,0.98
"116",0.693,0.828017342957341,0.8,0.98
"117",0.515875,0.707155841121973,0.9,0.97
"118",0.614625,0.782635973756588,0.86,1
"119",0.550625,0.756423253536281,0.84,0.99
"120",0.76125,0.856402208701151,0.79,0.99
"121",0.525125,0.723370479322819,0.88,0.96
"122",0.62225,0.78617943646325,0.84,1
"123",0.540625,0.73092769357734,0.89,0.99
"124",0.592875,0.758435788322529,0.84,1
"125",0.893375,0.884345818374449,0.84,0.99
"126",0.522,0.722282275998162,0.92,0.98
"127",0.565,0.754608762745775,0.86,1
"128",0.536,0.734754857975968,0.92,0.99
"129",0.547125,0.737783554031926,0.85,1
"130",0.526375,0.725923782923687,0.88,1
"131",0.547,0.746453141073847,0.87,0.99
"132",0.663875,0.73848600445407,0.9,0.98
"133",0.528625,0.722255816338362,0.91,0.98
"134",0.6315,0.790850883440607,0.82,0.96
"135",0.77725,0.890896360418096,0.82,0.99
"136",0.898875,0.940006361735231,0.82,0.99
"137",0.519875,0.701919235405531,0.89,0.98
