"","mac","mae_scaled","within_50","within_95"
"1",0.565875,0.725367273619933,0.85,0.98
"2",0.61325,0.781443008235281,0.84,1
"3",0.702125,0.864069898372431,0.82,0.98
"4",0.523375,0.697923260357954,0.85,1
"5",0.405,0.501851911286973,0.87,1
"6",0.649875,0.684647726290631,0.82,0.97
"7",0.510875,0.66338466009758,0.86,1
"8",0.541375,0.722514245776124,0.86,0.98
"9",0.458,0.550601411884616,0.83,1
"10",0.4995,0.694586009647342,0.84,1
"11",0.509625,0.688288868207461,0.86,1
"12",0.388375,0.499327113746532,0.85,0.99
"13",0.505625,0.701397940156893,0.88,0.98
"14",0.749875,0.838426947865484,0.82,0.99
"15",0.64525,0.727783024374102,0.83,1
"16",0.46575,0.647217218738529,0.9,0.99
"17",0.55725,0.550099338745499,0.81,0.99
"18",0.562125,0.673104306054055,0.84,0.99
"19",0.69975,0.830269391993397,0.84,0.97
"20",0.560125,0.740906286062936,0.84,0.99
"21",0.53225,0.711636676451762,0.86,0.98
"22",0.4555,0.622693868755024,0.87,0.99
"23",0.57575,0.731106477418813,0.81,0.98
"24",0.512125,0.703226063298217,0.88,1
"25",0.682875,0.827468579899515,0.84,0.98
"26",0.575375,0.704877248735431,0.84,1
"27",0.5795,0.610190490266009,0.84,0.97
"28",0.658375,0.796416940576507,0.85,0.99
"29",0.496375,0.504368493781138,0.83,0.99
"30",0.50375,0.703591872210462,0.87,0.98
"31",0.435875,0.624541143280453,0.89,0.98
"32",0.616375,0.78937391756956,0.82,0.99
"33",0.636875,0.684956659640564,0.81,0.99
"34",0.459625,0.575891159772185,0.85,0.99
"35",0.4845,0.669568190155135,0.85,0.98
"36",0.532125,0.659929294958302,0.83,1
"37",0.819125,0.895507118366841,0.82,0.96
"38",0.610375,0.722497596293288,0.82,0.99
"39",0.429375,0.605371304605464,0.88,1
"40",0.487375,0.669429775154858,0.83,1
"41",0.5435,0.729879817772696,0.84,0.99
"42",0.49575,0.675249086182316,0.86,1
"43",0.7365,0.799342991839282,0.82,0.97
"44",0.455,0.616937844649184,0.89,0.99
"45",0.725375,0.78670045337612,0.84,1
"46",0.413375,0.628336083501174,0.89,0.97
"47",0.698,0.815635747053204,0.83,0.98
"48",0.599875,0.71318342837947,0.86,0.99
"49",0.7715,0.846999895027671,0.8,0.97
"50",0.556875,0.735252504267115,0.85,0.97
"51",0.501125,0.652506837019818,0.84,1
"52",0.5265,0.692340463658913,0.86,0.97
"53",0.731875,0.826474449240853,0.81,0.97
"54",0.592125,0.66486706846268,0.8,0.96
"55",0.4225,NA,0.85,0.99
"56",0.450875,0.541859482493044,0.85,0.98
"57",0.547875,0.696715514715533,0.85,0.99
"58",0.429625,NA,0.9,0.98
"59",0.519625,0.672721372611926,0.86,0.99
"60",0.525875,0.725043022366642,0.86,0.98
"61",0.41125,0.58340385963358,0.89,0.98
"62",0.415,0.638206992847607,0.9,1
"63",0.63925,0.70391095541828,0.85,0.99
"64",0.534875,0.690181267666101,0.88,0.98
"65",0.538375,0.691180298105349,0.86,0.98
"66",0.542625,0.703468938648531,0.82,0.96
"67",0.389,0.551191453548519,0.9,0.99
"68",0.53275,0.685732476554373,0.84,0.97
"69",0.696875,0.704577889508072,0.79,1
"70",0.5375,0.688202052917312,0.85,0.99
"71",0.53475,0.709616387563889,0.8,0.98
"72",0.431,0.635798250892268,0.87,0.98
"73",0.407875,0.571000897870028,0.88,0.99
"74",0.535125,0.721639646195646,0.87,0.99
"75",0.648625,0.799426211302224,0.8,0.99
"76",0.718375,0.774942226688545,0.82,0.98
"77",0.48175,0.661924153393162,0.87,0.97
"78",0.426125,0.594005023243506,0.84,0.99
"79",0.613125,0.781626288316002,0.83,0.99
"80",0.496875,0.707892291771391,0.85,0.99
"81",0.469625,0.640427096749489,0.85,1
"82",0.5355,0.737668776187411,0.87,0.99
"83",0.523,0.719016429427259,0.85,0.99
"84",0.689625,0.796621573739445,0.84,0.99
"85",0.507,0.709403598037472,0.89,0.97
"86",0.558,0.747795660167216,0.89,0.99
"87",0.391875,0.550510556092871,0.89,0.99
"88",0.45425,0.628276607718109,0.9,1
"89",0.4395,0.620353115264693,0.86,0.99
"90",0.493125,0.650638379128441,0.86,0.98
"91",0.5295,0.727313454239147,0.84,1
"92",0.552875,0.747743268228733,0.86,0.97
"93",0.555875,0.711950490822879,0.79,0.95
"94",0.49,0.681948511467393,0.85,1
"95",0.4655,0.656769193307604,0.9,0.98
"96",0.600125,0.772882739194132,0.88,0.94
"97",0.601,0.755948016150449,0.88,0.99
"98",0.51925,0.71894859072778,0.85,0.98
"99",0.629625,0.793275397130032,0.85,0.97
"100",0.7265,0.862578959288583,0.82,0.99
"101",0.664125,0.767686023876553,0.8,1
"102",0.698625,0.824678718990789,0.83,0.98
"103",0.703625,0.793348182134236,0.84,0.96
"104",0.598875,0.777464272780345,0.82,1
"105",0.60175,0.741858581330555,0.89,0.98
"106",0.495625,0.69752466406006,0.86,1
"107",0.4235,0.63144797392141,0.87,1
"108",0.54575,0.711389259309342,0.84,1
"109",0.4955,0.690726486167921,0.87,0.99
"110",0.478125,0.684671589341401,0.86,1
"111",0.46325,0.63721676907194,0.89,0.99
"112",0.5585,0.74304778727573,0.85,0.98
"113",0.485875,0.68606789876613,0.88,0.99
"114",0.637875,0.688346625677919,0.86,0.97
"115",0.49225,0.703004139109244,0.86,0.97
"116",0.629125,0.759231034122456,0.86,0.98
"117",0.464,0.656104336867678,0.84,0.99
"118",0.51275,0.729038793840648,0.89,0.98
"119",0.4845,0.625609210221613,0.84,0.98
"120",0.534625,0.720749627828687,0.86,0.98
"121",0.422,0.576195790525664,0.84,1
"122",0.47325,0.674784877233725,0.89,1
"123",0.67125,0.829418519890096,0.84,0.97
"124",0.623875,0.799625922521686,0.82,0.98
"125",0.55075,0.743866271117369,0.85,0.98
"126",0.520875,0.720181039191437,0.86,0.99
"127",0.657125,0.770470065255465,0.81,0.98
"128",0.61475,0.743262868563336,0.85,1
"129",0.5845,0.758149183837257,0.85,0.99
"130",0.408375,0.627120449156682,0.85,0.98
"131",0.4335,0.647865665519297,0.9,0.98
"132",0.53425,0.724968493217168,0.9,0.98
"133",0.539625,0.740570001162507,0.86,0.99
"134",0.533625,0.710129849416066,0.87,1
"135",0.742,0.75627000755495,0.73,0.95
"136",0.597125,0.591592181293594,0.82,0.99
"137",0.517125,0.716413651556339,0.87,0.99
"138",0.495125,0.677113176636565,0.88,0.98
"139",0.654875,0.624333366188493,0.81,0.98
"140",0.810375,0.883865588092864,0.8,0.98
"141",0.60475,0.731670067147723,0.84,0.98
"142",0.459625,0.636384953510005,0.9,0.99
"143",0.624875,0.743882556271062,0.82,1
"144",0.58825,0.726366041553721,0.88,0.97
"145",0.595625,0.764334045793998,0.83,0.99
"146",0.7015,0.830385682245607,0.8,1
"147",0.642625,0.722668485195973,0.81,0.99
"148",0.566375,0.743773454285194,0.87,0.99
"149",0.419,0.637315017961791,0.87,0.99
"150",0.479,0.68156572730833,0.88,0.99
"151",0.471125,0.66292359855635,0.88,0.99
"152",0.515875,0.720724257130012,0.84,0.98
"153",0.5735,0.681958648027244,0.84,0.99
"154",0.543875,0.736456897246422,0.87,0.98
"155",0.612875,0.709614504645483,0.82,1
"156",0.6775,0.788949721239334,0.79,0.98
"157",0.721125,0.822084520427933,0.81,0.97
"158",0.62525,0.784512908460547,0.84,0.98
"159",0.5495,0.738497182320493,0.83,1
"160",0.544875,0.746705840295346,0.8,0.99
"161",0.628875,0.772966887179301,0.86,0.96
"162",0.643375,0.633165362003924,0.86,1
"163",0.51525,0.69215954279072,0.88,0.99
"164",0.54225,0.732828220547819,0.82,1
"165",0.50325,0.706186338112843,0.86,0.98
"166",0.5045,0.666202058232063,0.86,0.99
"167",0.800125,0.779820475134109,0.82,0.99
"168",0.6625,0.769666599459427,0.8,0.98
"169",0.481625,0.553070861205522,0.84,0.99
"170",0.564625,0.676644153463893,0.84,0.99
"171",0.574875,0.756595931280478,0.84,0.97
"172",0.719625,0.835832614954813,0.86,0.98
"173",0.544375,0.738233326953779,0.84,0.98
"174",0.528375,0.729062388186626,0.9,0.97
"175",0.535875,0.743833355939874,0.86,0.99
"176",0.51875,0.717314730715503,0.87,0.97
"177",0.5425,0.61047880493181,0.86,0.99
"178",0.50275,0.67390684931545,0.81,0.98
"179",0.55575,0.709914106038929,0.86,0.99
"180",0.643125,0.808108518613337,0.83,1
"181",0.530875,0.728685840414753,0.85,1
"182",0.513375,0.711801710226317,0.9,0.95
"183",0.736625,0.847158309998368,0.81,0.99
"184",0.602875,0.779470885251305,0.82,0.99
"185",0.61075,0.70114743998683,0.83,0.99
"186",0.67025,0.804178213495179,0.86,1
"187",0.556625,0.745577380734281,0.85,0.97
"188",0.475,0.625470452351203,0.91,1
"189",0.506,0.617503599340286,0.86,1
"190",0.511875,0.712110417692355,0.87,0.99
"191",0.507,0.668793867864361,0.84,0.99
"192",0.586,0.721674488079542,0.87,1
"193",0.53,0.733710099939089,0.85,0.97
"194",0.45725,0.606004714887568,0.85,1
"195",0.6005,0.712616175651,0.82,0.99
"196",0.545,0.647275585889053,0.84,0.97
"197",0.63525,0.67769548654351,0.87,0.96
"198",0.513625,0.679624113968471,0.85,0.98
"199",0.536125,0.490392442434154,0.86,0.99
"200",0.625625,0.713407404043467,0.86,0.99
"201",0.692625,0.763870064656813,0.83,0.99
"202",0.5545,0.706185880266265,0.87,0.99
"203",0.631125,0.69614518397935,0.78,1
"204",0.566875,0.706602251668954,0.84,0.99
"205",0.5175,0.649557329995847,0.82,1
"206",0.686,0.770096444066209,0.82,1
"207",0.462,0.645191956761003,0.88,0.99
"208",0.618375,0.639352418263267,0.82,0.99
"209",0.524,0.623275885909575,0.84,0.98
"210",0.48075,0.678081801286487,0.85,0.99
"211",0.541875,0.648881777508554,0.86,0.99
"212",0.52675,0.720905684405819,0.87,0.98
"213",0.550625,0.740443091047615,0.85,0.98
"214",0.492125,0.701059323465608,0.84,0.96
"215",0.46475,0.667990106574738,0.87,1
"216",0.75675,0.818998112449334,0.81,0.98
"217",0.593875,0.765037378616345,0.85,0.97
"218",0.605875,0.723871184608355,0.8,1
"219",0.71775,0.788781425782172,0.83,0.99
"220",0.623125,0.655298248189425,0.86,0.96
"221",0.481875,0.679452613376669,0.88,0.94
"222",0.50675,0.611036236340923,0.85,0.99
"223",0.506375,0.617122094922108,0.86,0.99
"224",0.697875,0.81577527582595,0.83,0.99
"225",0.444375,0.619481462689056,0.84,0.99
"226",0.53825,0.614518031584973,0.87,1
"227",0.473,0.681569391570702,0.85,1
"228",0.570625,0.744559349840168,0.83,0.98
"229",0.67025,0.777871093843669,0.82,1
"230",0.468625,0.624785897015315,0.82,0.99
"231",0.841875,0.859463701700703,0.83,0.94
"232",0.526625,0.650423577372281,0.86,1
"233",0.46975,0.679609002958909,0.89,1
"234",0.568875,0.738127819945807,0.83,0.99
"235",0.403625,0.519463917119364,0.9,0.98
"236",0.6765,0.738616278096145,0.77,0.99
"237",0.5075,0.717744089035086,0.84,0.99
"238",0.605125,0.748710898546361,0.82,1
"239",0.487875,0.539651922154938,0.85,0.98
"240",0.598625,0.581964638522437,0.81,0.99
"241",0.5765,0.710435871171255,0.85,1
"242",0.49075,0.551575386660734,0.84,0.99
"243",0.62975,0.613953372758625,0.84,0.98
"244",0.501625,0.712506279943629,0.89,0.99
"245",0.45325,0.647123573734671,0.89,0.98
"246",0.57575,0.716325787498509,0.87,0.99
"247",0.48825,0.691394835273986,0.9,0.98
"248",0.59875,0.782377912778849,0.84,1
"249",0.51275,0.710165471322211,0.88,0.97
"250",0.47825,0.680184309796331,0.85,1
"251",0.6395,0.763942809562244,0.82,0.99
"252",0.697375,0.775932984030709,0.8,0.96
"253",0.631625,0.801409948080582,0.83,0.99
"254",0.46275,0.62937138222386,0.84,0.98
"255",0.4845,0.645094719669593,0.88,0.98
"256",0.58875,0.66767096194408,0.83,0.97
"257",0.52025,0.709310123088544,0.83,0.99
