"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"72",1,1,1,1,2,0,4,3,0,3,1,1,0,2,3,1,0,1,2,2,1,1,1,4,4,0,3,3,1,0,0,2,4,2,2,1,1,3,2,1,1,2,0,0,0,0,3,2,0,2,3,1,1,1,3,4,1,1,1,1,2,0,6,3,4,2,1,0,1,4,2,1,1,1,0,0,4,0,1,1,0,4,1,0,0,1,1,0,0,1,1,4,1,3,1,3,1,1,0,7
"73",7,5,5,4,8,7,7,8,9,3,4,9,8,4,8,7,5,7,11,11,11,14,5,5,3,12,7,5,8,7,9,7,15,15,8,5,12,9,10,8,9,4,10,12,2,15,4,7,7,12,14,9,8,9,14,15,8,9,11,8,8,12,26,5,9,10,7,3,9,7,14,9,6,10,7,9,12,8,11,3,8,10,9,7,1,8,9,10,2,14,15,26,11,7,9,1,4,8,9,21
"74",154,193,80,126,180,223,149,124,171,161,167,144,158,111,124,109,118,74,180,143,172,159,124,122,157,125,141,115,137,174,168,148,142,229,161,103,173,306,140,151,162,163,102,186,40,151,164,158,145,174,141,160,174,134,136,142,174,178,203,126,113,189,321,83,140,148,140,173,163,158,147,154,96,186,132,168,143,85,185,225,131,144,147,51,26,174,153,126,114,150,220,308,189,160,138,112,121,150,138,285
"75",34,44,24,46,41,60,51,41,56,45,48,30,50,38,41,36,32,31,45,45,44,40,36,53,53,44,44,39,33,43,37,46,42,65,43,43,47,37,56,45,44,51,37,42,20,48,48,47,40,45,45,69,60,57,50,42,60,49,35,37,45,45,99,19,51,35,34,14,46,59,55,42,28,51,42,37,38,26,50,31,50,40,49,23,12,60,56,38,27,34,51,98,47,55,48,50,22,47,35,115
"76",29,37,22,39,34,30,33,32,34,30,31,36,43,25,32,31,36,10,32,25,39,21,28,23,41,17,28,28,35,34,41,34,29,39,29,32,30,29,28,41,26,30,23,43,15,46,29,42,39,28,41,34,27,35,30,29,27,28,34,32,31,50,81,18,32,21,32,21,25,37,25,25,20,43,32,41,34,20,34,17,36,36,34,11,5,27,37,18,24,33,43,66,31,19,33,40,22,23,19,66
"77",13,23,9,5,23,22,6,10,22,13,8,24,16,9,10,9,9,9,11,3,11,19,7,7,12,12,17,13,19,16,11,12,15,30,13,1,13,19,12,11,15,9,19,13,3,16,14,17,19,11,19,7,18,8,13,15,18,12,19,13,11,11,38,8,6,22,20,7,18,28,16,6,7,27,13,11,9,5,12,20,22,16,19,2,3,18,26,11,11,9,17,37,18,16,10,5,8,9,10,21
"78",3,8,4,5,1,11,3,1,4,4,5,2,5,2,1,4,7,1,4,1,7,1,2,1,3,1,2,9,8,7,3,4,5,6,4,1,0,1,1,2,4,5,3,3,0,8,9,5,6,4,6,2,4,0,3,5,4,1,6,5,2,3,10,1,7,5,7,2,5,4,1,5,2,7,3,3,2,4,2,4,2,6,6,1,0,4,7,7,4,0,4,8,8,5,5,4,9,3,0,5
"79",7,1,6,9,4,2,8,0,9,4,5,5,7,8,0,5,4,7,7,5,3,9,6,2,5,7,7,2,5,5,9,4,3,3,2,5,9,8,4,5,5,9,4,20,1,4,5,4,7,4,5,8,4,9,4,3,4,3,3,1,2,3,9,2,6,11,4,2,6,5,2,8,2,10,4,9,4,2,7,4,5,3,2,1,1,4,7,4,0,9,2,13,6,5,3,6,7,2,4,17
"80",20,15,11,29,26,30,23,24,18,23,17,24,14,16,24,17,7,10,25,23,15,18,26,16,26,16,11,15,22,20,17,10,16,26,19,13,12,24,22,18,29,8,11,26,7,14,19,12,13,23,14,25,17,22,22,16,17,18,17,20,19,23,49,10,12,20,20,4,16,22,17,18,13,23,20,17,14,19,11,16,16,20,21,11,4,17,18,26,7,12,25,53,15,14,26,16,12,23,15,44
"81",51,57,15,43,46,56,69,41,39,50,48,52,53,32,41,36,43,16,61,56,40,40,34,45,68,44,38,32,40,45,35,41,47,51,40,31,42,49,47,44,56,55,36,66,10,78,46,56,34,49,42,62,39,50,54,47,39,46,48,48,55,54,113,15,44,31,39,27,47,67,49,40,16,75,45,35,57,27,38,44,57,53,47,21,12,39,39,51,26,48,72,114,68,53,55,45,42,35,21,100
